,PDB File,Mean,Median,Max,Min,Q1,Q3
0,3eml,3.573232625,3.465908395,4.883295301,2.997395703,3.25839393,3.720942488
1,3bkl,3.579479914,3.59173621,4.44878253,2.34494968,3.466394835,3.91357004
2,1.00E+66,3.525178128,3.554597868,3.826161654,2.914778551,3.426744957,3.634649364
3,2e1w,3.585742014,3.671133268,4.201481048,2.73337374,3.472956905,3.834322209
4,2oi0,3.619091566,3.598885622,4.640995044,2.871848534,3.271803732,3.88366519
5,3cqw,3.387870898,3.534800843,3.974153872,2.556320207,3.167301886,3.668080471
6,2am9,3.768525358,3.820393435,4.64042261,2.662011833,3.457478416,4.181072948
7,1bcd,3.308861618,3.183840716,4.011486009,2.742903936,3.058207114,3.558300358
8,2cnk,3.046763864,3.26375857,3.918345952,1.309845029,2.768301465,3.496224392
9,3ny8,3.405322464,3.465541229,3.85904198,2.651094491,3.173170843,3.687336027
10,2hv5,3.442354644,3.42878652,4.257346709,2.685619854,3.263790128,3.674316671
11,2hzi,3.607851618,3.54545258,4.167802539,2.921676573,3.423309218,3.836971462
12,2vt4,3.477357299,3.564624665,4.133704755,2.565209153,3.27726929,3.703171344
13,3d0e,3.525985963,3.51028845,4.107124907,2.641467963,3.374449583,3.774441364
14,1s3b,3.580240892,3.579267607,4.08284276,3.055219305,3.326989642,3.788489798
15,3l5d,3.857426399,3.733827864,6.128613057,2.603710621,3.398629904,4.227282488
16,3d4q,3.56712909,3.644102669,4.349168771,2.084745788,3.340156269,3.790205462
