,Name,Mean,Median,Max,Min,Q1,Q3
0,Ligand 0,3.5171198880174948,3.5325057678650724,4.804050166265957,2.362343328138398,3.3637708347403805,3.777411783728332
1,Ligand 1,3.429720155155652,3.486836711646802,4.509122974592732,2.369508176816448,3.1314897706031997,3.6433788090572388
2,Ligand 2,3.6730584220696594,3.6709145369428233,4.617554114463629,2.701582129049568,3.449330071672498,3.923391127711355
3,Ligand 3,3.418172246989558,3.4763028142018584,4.086878637787027,2.0571346577217544,3.318263444362894,3.677341570965671
4,Ligand 4,3.2978302985359336,3.3826306331019946,4.1072767133466925,2.3198303817305255,3.0650635052921804,3.6322644698553908
5,Ligand 5,3.455908801357238,3.4734699849506327,4.288336390723095,2.1843646673575354,3.2060116667453933,3.7857782098988575
6,Ligand 6,3.489313853183931,3.518842707482107,4.41304803962069,2.6721126473260783,3.3216238498662047,3.728386916616892
7,Ligand 7,3.4928605637106314,3.5577207660643957,4.039022406474125,2.4209041699332072,3.2847910907269195,3.764763880414999
8,Ligand 8,3.505789957541483,3.50082118937829,4.458803651205105,2.17492735510867,3.3556206579409404,3.675730539634266
9,Ligand 9,3.3728436811663096,3.457775205611265,4.045037700689577,2.3523090783313267,3.2349052079011504,3.607592281990716
10,Ligand 10,3.4695924397907607,3.52829342959053,4.4898798424902155,2.20162440030083,3.2165943579281504,3.694267446578004
11,Ligand 11,3.5236442259993708,3.507047549913447,4.1992905353166465,2.403456261303707,3.3678639866740543,3.690204266435974
12,Ligand 12,3.594839724819735,3.513066182126377,4.875169535513609,2.750901852120498,3.329845290794795,3.908561433895917
13,Ligand 13,3.577413220824819,3.5586351316199867,4.44911463102492,2.5252146443421406,3.403153537529567,3.7391198162134316
14,Ligand 14,3.3926708656224207,3.4451435383739866,4.357203001926813,2.1180118035553916,3.187084743461165,3.6149715580706316
15,Ligand 15,3.359961362727362,3.42437395685161,3.94888579222038,2.508915901340655,3.1985411531252295,3.6080094591045917
16,Ligand 16,3.5765744377731634,3.6928895190622746,4.732057586293726,2.264800432709251,3.362711108614592,3.8464210637942386
17,Ligand 17,3.5407976403839316,3.6226972462444333,4.645895607953321,2.3672957145232174,3.417858955216849,3.7712496179998722
18,Ligand 18,3.655243057693386,3.5986427997232497,4.59346993023792,2.957903649546415,3.347686663951694,4.057098840304484
19,Ligand 19,3.457054844786942,3.5481506450544065,4.150584175751651,2.409393492146935,3.258920526800242,3.647892953473279
20,Ligand 20,3.59763195928237,3.611054970503775,4.169262884491692,2.904363097135066,3.422318139352522,3.7640494961796342
21,Ligand 21,3.473983697387431,3.5331644868484,4.174141348828522,2.1684358417993366,3.3327206862972343,3.6676507497546877
22,Ligand 22,3.567700276021806,3.5202764096019523,4.789566368680989,2.430476907933912,3.2834716383730163,3.882018675895318
23,Ligand 23,3.3096380864518653,3.4938972509219552,4.021451603587936,1.8379042412487068,3.1748867696344667,3.606311827892871
24,Ligand 24,3.56609127107832,3.536582248442696,4.629187185673094,2.5890417146117977,3.32475261819876,3.735596086275492
25,Ligand 25,3.49291654586334,3.6263871427497283,4.287391048178366,1.9262185753439234,3.322690093776603,3.7029528936596785
26,Ligand 26,3.516858377382415,3.5598346089033504,4.761700956591035,2.648846163898543,3.3658826529742267,3.7005678418188106
27,Ligand 27,3.4288365145282773,3.4623423381977387,4.416068840043143,2.465786284332035,3.3252973323323323,3.5855504378140255
28,Ligand 28,3.5791539234258423,3.56125428085548,4.359513046201378,2.6576209285750285,3.4352444423818698,3.788404853564215
29,Ligand 29,3.5433633852342736,3.5391864884461834,4.350197581719706,2.451286193001545,3.31661871287614,3.7611234317849727
30,Ligand 30,3.477735379191646,3.4974699532129714,4.3302804759045355,2.170043317539995,3.3144416352185795,3.789996053215837
31,Ligand 31,3.491285029570667,3.6171034498119496,4.310705858673266,2.338107354250435,3.2874372011269983,3.716281801518264
32,Ligand 32,3.457574566333892,3.4951815403495154,4.237053929324003,2.5861223868951004,3.163254020783026,3.7724180574268225
33,Ligand 33,3.5693515255568804,3.5714407456935398,4.489411765476627,2.248438569318713,3.3856182048112546,3.8307691421508605
34,Ligand 34,3.3807182053208074,3.5324670442885973,4.214210009005244,1.7321619439301785,3.2827646715103587,3.69880882446153
35,Ligand 35,3.4152232496956847,3.514031170593542,4.0630168594284735,2.2093349678127114,3.118850917412842,3.743311332907869
36,Ligand 36,3.4571462572051814,3.4743363905163385,4.041050977159282,2.518446544995545,3.3432044958642244,3.7028165126391945
37,Ligand 37,3.640536254267832,3.629324513383723,4.4644519260487066,2.589436425170542,3.453450535280943,3.8274197393452747
38,Ligand 38,3.5731169275870807,3.549295883481846,4.167475014922109,3.1139712586984474,3.3864991351954203,3.735808479304698
39,Ligand 39,3.5382503346730227,3.6347514331000843,4.237909862184427,2.2582130103247557,3.4222026071265694,3.7779425054738502
40,Ligand 40,3.5136335508427314,3.5271423551027192,4.232147209159909,2.7155616361997716,3.3301654812237516,3.730490466068356
41,Ligand 41,3.543797979568609,3.54757924098001,4.689357845163873,2.858438384852818,3.2272292522095003,3.742533703591061
42,Ligand 42,3.5194909947317106,3.5903577816145296,4.2232240054252355,1.9133745059449265,3.3542344677263265,3.779154062351829
43,Ligand 43,3.595718583829774,3.6247985438757855,4.475739268545477,2.756142231453222,3.326419208311379,3.765809441241749
44,Ligand 44,3.571947748270609,3.5996563724889072,4.942586974449716,2.477165719123369,3.233317873183494,3.8813401305965556
45,Ligand 45,3.3894791189504363,3.4338621597388235,3.856263087498051,2.300462127486561,3.29914585374531,3.6332929404015433
46,Ligand 46,3.390589492875457,3.3795848857515067,4.3046889550814225,2.1344013212139847,3.176084480838404,3.6718619802525856
47,Ligand 47,3.480288006828927,3.5428906534411237,4.2556453094683535,2.756792701673448,3.267201711865516,3.7123873016110753
48,Ligand 48,3.4110396230876505,3.417976478312882,4.300761560468095,2.313795799114519,3.2032826321230856,3.7140699155929484
49,Ligand 49,3.5678461503678465,3.567092702751947,4.4362567554189125,2.1133589378049296,3.339624373425798,3.809184384580074
50,Ligand 50,3.508714596627897,3.4868790786085464,4.179854901787861,2.7251421981247144,3.3433309056417406,3.6792848601438246
51,Ligand 51,3.4686946712288385,3.5352875413465363,4.230000827423082,2.366402121364834,3.2219945401212295,3.719033128803076
52,Ligand 52,3.410657955526168,3.4840013233199785,4.521962074144365,2.4489673333876874,3.185556412479581,3.6163025560131645
53,Ligand 53,3.5219929288616885,3.5651934530178337,4.447159093173977,1.7960292313879498,3.349120315007628,3.760035267656522
54,Ligand 54,3.426658400113975,3.4564739258382984,4.289787640431629,2.0782314596791207,3.2298866931454793,3.7023037783018142
55,Ligand 55,3.480845321498457,3.4393210085713126,4.70596791319278,2.507190459458556,3.265000684744602,3.7370742616651214
56,Ligand 56,3.4539859179510346,3.4330186425360427,4.387671136263515,2.7781398452921677,3.1567111049318397,3.7886052842701914
57,Ligand 57,3.628675148925594,3.6412697639479585,4.501736664888335,2.897172069449792,3.346404657729975,3.8103222449912026
58,Ligand 58,3.468742051113213,3.482460911481992,4.147605333201315,2.590840404193205,3.240327606894093,3.724888588937929
59,Ligand 59,3.4546924113696864,3.455308524574903,4.163723093578632,2.5706965982005654,3.343957426312104,3.643928029370635
60,Ligand 60,3.395620261567444,3.5015069993169323,4.210184437765163,2.498716670613128,3.2279421903848857,3.629895501080006
61,Ligand 61,3.3739982611955908,3.4650236651428514,4.397501563388011,2.2310201702360244,3.1642370328406106,3.677986541574069
62,Ligand 62,3.369923107382302,3.378004096892078,4.3674579562944835,2.2580480508616234,3.155131524379675,3.625244129660853
63,Ligand 63,3.362438615583879,3.424477237869006,3.7766474550849995,2.466242891525492,3.321501825771642,3.6317654092049465
64,Ligand 64,3.5135052062218826,3.5330583328198366,4.100591786559595,2.4754023915315195,3.340354636943897,3.7124129240987864
65,Ligand 65,3.4051514883767036,3.4294623001222213,4.825229320975323,2.2643846846328906,3.1140602568199953,3.650579697063036
66,Ligand 66,3.417485935368297,3.4378004595962253,4.380492323928905,2.5175744278968164,3.19472883569716,3.6539412190570606
67,Ligand 67,3.43401963675837,3.477370558338583,4.247094418540755,2.4656248700887153,3.196654193087408,3.6434598480561537
68,Ligand 68,3.495668294329531,3.5194131613097084,4.288898343397756,2.1685031703919555,3.3446753396531665,3.8428668059156124
69,Ligand 69,3.2983246473909795,3.385484498556816,3.8813520840037192,2.3854888387917503,3.103051588823584,3.57435726419376
70,Ligand 70,3.439420011011757,3.4787897135198067,4.102707642520971,2.474915958169089,3.2934746409923092,3.7194395125370088
71,Ligand 71,3.507749942210368,3.5489296978103138,4.54763411017201,2.2866519192916073,3.309721482095596,3.7580604884514024
72,Ligand 72,3.507151499030221,3.498775823752363,4.316802867864132,2.704244441613962,3.3118385516712143,3.6493781947131705
73,Ligand 73,3.388545400965209,3.5527096700968963,4.220014810400555,2.0667987323394583,3.205562977075943,3.7200506716979005
74,Ligand 74,3.4754431894568145,3.50250467522886,4.48372222600821,2.3916573751271306,3.1273882074344437,3.8446361336282497
75,Ligand 75,3.39876129638513,3.4536424250347593,4.080183084127474,2.0887434021439804,3.204248117733704,3.668633669365203
76,Ligand 76,3.4223648012711547,3.567523510784475,4.133619479342524,2.32786146495017,3.1193522987746656,3.740919303242674
77,Ligand 77,3.451345183678532,3.5065307561644836,4.177750949972967,2.1396768447594994,3.292728798674201,3.700824662793961
78,Ligand 78,3.4947345885707244,3.5311663488814196,4.5865300609502135,2.626617596834377,3.3473036459388616,3.7009646506965526
79,Ligand 79,3.413592534251119,3.5143182859085753,3.9496379580918495,2.4498953038854485,3.311880125997157,3.655407329782326
80,Ligand 80,3.636114132482642,3.6268120987997166,4.208100996886837,2.983373426173799,3.4513256873265363,3.847768963958206
81,Ligand 81,3.4738494593994296,3.5968674152581785,4.044712103475341,2.3976158991798497,3.338456344144633,3.713083378298489
82,Ligand 82,3.476295330451861,3.5086148161215833,4.120391486254674,2.9874592884255327,3.221868944251412,3.665609917244728
83,Ligand 83,3.888500823637053,3.8368191252650856,5.05224662897607,3.1671035663520706,3.4992442041103717,4.278753323107097
84,Ligand 84,3.4577318145577305,3.4534529097701636,4.216384588720532,2.3011790456198735,3.2243811809399885,3.839842835325423
85,Ligand 85,3.389671076935649,3.4535170897842384,3.867065554137919,2.1647854397145236,3.285104695607179,3.664979673896495
86,Ligand 86,3.396421086571543,3.467733398300182,4.21212404850569,2.199371046458507,3.268194743522721,3.7398891290368437
87,Ligand 87,3.2911634014338285,3.372951170367875,4.037839768985394,2.097504469601909,3.107335789090368,3.590472379217421
88,Ligand 88,3.3595399277596285,3.4939257453452752,4.341360270698575,1.9530675871561531,3.1524509487852144,3.6249365872626362
89,Ligand 89,3.393626953908463,3.447732588238248,4.219635173803532,2.4297812658755906,3.2968909596770133,3.6334260691529154
90,Ligand 90,3.3498398895393744,3.468547534631751,4.462572128268628,1.9224341341122686,3.178059470809188,3.655514464476924
91,Ligand 91,3.4144383383177237,3.4785636632370887,4.419941289202834,2.4793085729694893,3.1365554126474846,3.668546835161759
92,Ligand 92,3.511169694372159,3.5470891508187643,4.534139278848857,2.5390970836106246,3.1652360946230402,3.8556397188200693
93,Ligand 93,3.2950685026495847,3.432113000121753,3.8215885440481423,2.3642186870084587,3.147356865612369,3.5923384163161134
94,Ligand 94,3.5067435195804624,3.574361061784324,4.211309653777553,2.177330016327331,3.5025359384308987,3.7404872677232883
95,Ligand 95,3.596873258681035,3.550615017148435,4.440473172985061,2.8613961627149855,3.4020860340094323,3.7270763856273086
96,Ligand 96,3.4930554889048473,3.531370838640429,4.025277878606643,3.0049547417556903,3.3114700662998633,3.6168458634561684
97,Ligand 97,3.3923186100509213,3.488883039940805,3.9784892861487053,1.8912548744153954,3.16650547844736,3.6318885274224577
