,Name,Mean,Median,Max,Min,Q1,Q3
0,Ligand 0,3.5681978491776434,3.655165522927789,4.162936463603544,2.3874454967600833,3.281854409801972,3.8457381280974423
1,Ligand 1,3.681860996092227,3.669714157805752,5.488534686052371,2.581578974193894,3.4259639519411205,3.939156508695738
2,Ligand 2,3.481459504095354,3.4916055446781877,4.200021309469751,2.426099132352178,3.299991504300121,3.6806839263999374
3,Ligand 3,3.8162410912797182,3.7477576359493545,4.664561286980801,2.977543618488234,3.514496620001528,4.104345300671171
4,Ligand 4,3.40889754150966,3.539173067257382,4.340621499278644,1.1270798552010406,3.387871750819386,3.739126769715088
5,Ligand 5,3.640963838281035,3.4384614291860287,5.305595536789441,2.9342837286124883,3.2697759862106754,3.801246769153511
6,Ligand 6,3.4500673513524993,3.430820622114748,4.492865232788535,2.439009225074804,3.1892496398618957,3.758303439747902
7,Ligand 7,3.4561264225773574,3.496733967412675,4.209842989946299,2.4338652386687274,3.2147935939769874,3.6485056765022272
8,Ligand 8,3.51294286967085,3.4710832603093817,4.433424861210573,2.4735266321590252,3.361964395244546,3.653975471398881
9,Ligand 9,3.432231787011141,3.5301662664305544,4.17288161825854,2.0887417264946833,3.333847580199769,3.6652075531334547
10,Ligand 10,3.6871876801787025,3.6785965180341496,4.389313727679989,2.696059717439508,3.455119212765125,4.035067417678959
11,Ligand 11,3.5171198880174948,3.5325057678650724,4.804050166265957,2.362343328138398,3.3637708347403805,3.777411783728332
12,Ligand 12,3.5326341456141495,3.5558646399575653,4.443625209218253,2.1258283091538677,3.3652483053880102,3.792900959907864
13,Ligand 13,3.4963194128146164,3.519548976786656,4.231871217322188,2.4042065219111284,3.318159122243521,3.698483109659843
14,Ligand 14,3.508087604501712,3.4395691095350633,4.502011661468677,2.6433781416967195,3.1916224297942852,3.805234661459873
15,Ligand 15,3.429720155155652,3.486836711646802,4.509122974592732,2.369508176816448,3.1314897706031997,3.6433788090572388
16,Ligand 16,3.6275584956204927,3.525510175846888,5.129497246319564,2.65013094016125,3.353579574279411,3.8439942012088775
17,Ligand 17,3.4895445510760195,3.5046513378651487,4.914726136825937,2.366346762416701,3.3188009883088854,3.742808571113409
