,Name,Mean,Median,Max,Min,Q1,Q3
40,Ligand 40,3.691730288,3.584186798,5.812109428,2.090489895,3.289056248,3.991305676
1,Ligand 1,3.681860996,3.669714158,5.488534686,2.581578974,3.425963952,3.939156509
22,Ligand 22,3.676845649,3.650695785,5.359421331,2.040378396,3.335289666,4.007092728
18,Ligand 18,3.655497384,3.660929586,5.309775607,2.080603278,3.35819325,3.977889671
5,Ligand 5,3.640963838,3.438461429,5.305595537,2.934283729,3.269775986,3.801246769
93,Ligand 93,3.576455615,3.509464062,5.266192078,2.595435416,3.291341672,3.794631603
16,Ligand 16,3.627558496,3.525510176,5.129497246,2.65013094,3.353579574,3.843994201
36,Ligand 36,3.650463741,3.643317801,5.116735483,2.633616525,3.406169473,3.860153108
32,Ligand 32,3.645099411,3.596074834,5.033132822,2.764082669,3.385928757,3.906044313
35,Ligand 35,3.780244203,3.675297037,4.983830354,3.258851485,3.508921409,3.947867324
17,Ligand 17,3.489544551,3.504651338,4.914726137,2.366346762,3.318800988,3.742808571
55,Ligand 55,3.610930727,3.557860312,4.907537468,1.94677631,3.39058579,3.824016867
41,Ligand 41,3.574301227,3.558669695,4.895296722,2.182359732,3.30665324,3.779738031
82,Ligand 82,3.684909477,3.64790427,4.890595976,2.388090869,3.429918592,3.989077797
88,Ligand 88,3.594839725,3.513066182,4.875169536,2.750901852,3.329845291,3.908561434
57,Ligand 57,3.838105785,3.781617983,4.843024984,3.008232704,3.479631863,4.03414316
79,Ligand 79,3.523629982,3.526495982,4.827911557,2.179824075,3.357246576,3.745855891
71,Ligand 71,3.505536055,3.526035759,4.807530967,2.462342178,3.176701955,3.772216415
11,Ligand 11,3.517119888,3.532505768,4.804050166,2.362343328,3.363770835,3.777411784
50,Ligand 50,3.481078218,3.529945288,4.789832982,1.909008905,3.273960871,3.795776236
38,Ligand 38,3.533983033,3.562269221,4.785389221,2.675597316,3.347361498,3.679461102
64,Ligand 64,3.446370174,3.478014525,4.766470917,2.3477502,3.232967682,3.675020744
46,Ligand 46,3.612491163,3.603468043,4.762243274,2.67274447,3.396971926,3.79630655
65,Ligand 65,3.530372906,3.563850305,4.739675305,2.425559317,3.305612928,3.697363229
98,Ligand 98,3.576574438,3.692889519,4.732057586,2.264800433,3.362711109,3.846421064
54,Ligand 54,3.707131472,3.651666653,4.709263,3.09950367,3.409625554,3.941734055
52,Ligand 52,3.389616568,3.451453729,4.681781819,2.108842811,3.116235255,3.690213697
3,Ligand 3,3.816241091,3.747757636,4.664561287,2.977543618,3.51449662,4.104345301
47,Ligand 47,3.613431356,3.631090332,4.65482266,2.276297652,3.392223246,3.812824775
99,Ligand 99,3.54079764,3.622697246,4.645895608,2.367295715,3.417858955,3.771249618
67,Ligand 67,3.408039031,3.485916668,4.640453103,2.347356385,3.272251762,3.627992369
31,Ligand 31,3.577651031,3.52142031,4.629855397,2.355391475,3.283248544,3.885895778
45,Ligand 45,3.673058422,3.670914537,4.617554114,2.701582129,3.449330072,3.923391128
33,Ligand 33,3.591507944,3.6202859,4.614717976,2.088975347,3.370554392,3.809889268
74,Ligand 74,3.785135514,3.724281131,4.613482307,2.969543736,3.55920617,3.995243131
91,Ligand 91,3.624438642,3.574426527,4.609618314,2.899508234,3.288511842,3.927338514
27,Ligand 27,3.522793396,3.491981386,4.589510322,2.743035727,3.223929435,3.71797418
63,Ligand 63,3.6882543,3.682067082,4.568410336,2.96022212,3.377329247,3.955884522
92,Ligand 92,3.540354278,3.540667734,4.561088905,2.517498759,3.275129005,3.789176824
20,Ligand 20,3.503159548,3.513001101,4.544967987,2.313191951,3.289243928,3.728718438
26,Ligand 26,3.547876848,3.572011687,4.530374157,2.724990092,3.369208097,3.732766362
60,Ligand 60,3.526278205,3.561626981,4.529081253,2.455949104,3.377983334,3.717329379
25,Ligand 25,3.528535001,3.533869528,4.528952859,2.320253434,3.390286045,3.862065355
49,Ligand 49,3.544458658,3.511727292,4.52858543,2.454783697,3.37452774,3.82241174
53,Ligand 53,3.429470451,3.520700016,4.521738825,2.488135446,3.05968808,3.720808731
15,Ligand 15,3.429720155,3.486836712,4.509122975,2.369508177,3.131489771,3.643378809
14,Ligand 14,3.508087605,3.43956911,4.502011661,2.643378142,3.19162243,3.805234661
6,Ligand 6,3.450067351,3.430820622,4.492865233,2.439009225,3.18924964,3.75830344
86,Ligand 86,3.46959244,3.52829343,4.489879842,2.2016244,3.216594358,3.694267447
59,Ligand 59,3.35024268,3.474790353,4.478400161,1.741789884,3.065724156,3.625747997
73,Ligand 73,3.39463981,3.388314802,4.474342186,2.141386467,3.266119775,3.68691977
84,Ligand 84,3.505789958,3.500821189,4.458803651,2.174927355,3.355620658,3.67573054
39,Ligand 39,3.56740598,3.571087594,4.457218191,2.784203477,3.421369966,3.691758586
89,Ligand 89,3.577413221,3.558635132,4.449114631,2.525214644,3.403153538,3.739119816
80,Ligand 80,3.54110343,3.621342437,4.448304958,2.587823217,3.221955187,3.795664999
43,Ligand 43,3.443102997,3.438182057,4.447303453,2.274631619,3.325764474,3.651979977
12,Ligand 12,3.532634146,3.55586464,4.443625209,2.125828309,3.365248305,3.79290096
51,Ligand 51,3.478598336,3.413451919,4.442117063,2.337154039,3.308761968,3.69015104
69,Ligand 69,3.378714179,3.438686668,4.435973287,2.135992978,3.183048067,3.706963852
8,Ligand 8,3.51294287,3.47108326,4.433424861,2.473526632,3.361964395,3.653975471
42,Ligand 42,3.482931729,3.487005736,4.43198319,2.323982788,3.378930808,3.694942072
70,Ligand 70,3.57135543,3.576826513,4.428823885,2.192664589,3.461442545,3.827604978
96,Ligand 96,3.491437762,3.574694532,4.41559124,1.895614676,3.386639167,3.766748036
37,Ligand 37,3.532688758,3.585401651,4.41416572,1.99030877,3.290106989,3.863836565
75,Ligand 75,3.489313853,3.518842707,4.41304804,2.672112647,3.32162385,3.728386917
44,Ligand 44,3.446850778,3.455796001,4.408459822,2.43977417,3.213221229,3.665898082
34,Ligand 34,3.425176766,3.479221321,4.391084376,2.111384854,3.246181697,3.645851275
10,Ligand 10,3.68718768,3.678596518,4.389313728,2.696059717,3.455119213,4.035067418
77,Ligand 77,3.491238584,3.619034945,4.38907382,2.320466548,3.253971053,3.751363482
62,Ligand 62,3.553977232,3.645864644,4.38279979,2.238893923,3.434262803,3.763116528
29,Ligand 29,3.573115111,3.588087234,4.382733964,2.388300651,3.424632681,3.758994812
90,Ligand 90,3.392670866,3.445143538,4.357203002,2.118011804,3.187084743,3.614971558
28,Ligand 28,3.548842526,3.498100056,4.356572162,2.699503102,3.350692495,3.832776754
4,Ligand 4,3.408897542,3.539173067,4.340621499,1.127079855,3.387871751,3.73912677
94,Ligand 94,3.420788947,3.489536865,4.332037165,2.402656238,3.104916315,3.670567484
23,Ligand 23,3.666423255,3.599690494,4.307499158,2.897663369,3.459942651,3.825233317
72,Ligand 72,3.455908801,3.473469985,4.288336391,2.184364667,3.206011667,3.78577821
78,Ligand 78,3.439470973,3.444463592,4.276154347,2.512671089,3.243106153,3.609996672
48,Ligand 48,3.424595148,3.513011956,4.266346915,2.143829051,3.122131331,3.735786371
61,Ligand 61,3.466927683,3.534921216,4.232966926,2.256792857,3.273433824,3.744289118
13,Ligand 13,3.496319413,3.519548977,4.231871217,2.404206522,3.318159122,3.69848311
19,Ligand 19,3.555016173,3.59894943,4.221640558,2.640608074,3.339365715,3.748124705
30,Ligand 30,3.460028676,3.458390234,4.217262264,2.536761912,3.30351244,3.766816587
7,Ligand 7,3.456126423,3.496733967,4.20984299,2.433865239,3.214793594,3.648505677
2,Ligand 2,3.481459504,3.491605545,4.200021309,2.426099132,3.299991504,3.680683926
87,Ligand 87,3.523644226,3.50704755,4.199290535,2.403456261,3.367863987,3.690204266
9,Ligand 9,3.432231787,3.530166266,4.172881618,2.088741726,3.33384758,3.665207553
0,Ligand 0,3.568197849,3.655165523,4.162936464,2.387445497,3.28185441,3.845738128
24,Ligand 24,3.418206337,3.495965818,4.150886773,2.631254264,3.181560152,3.610736905
83,Ligand 83,3.339273243,3.391871607,4.145536877,2.222227936,3.110598966,3.660039012
66,Ligand 66,3.523242884,3.541799332,4.127947916,2.791135253,3.31617397,3.754207838
68,Ligand 68,3.297830299,3.382630633,4.107276713,2.319830382,3.065063505,3.63226447
58,Ligand 58,3.418172247,3.476302814,4.086878638,2.057134658,3.318263444,3.677341571
21,Ligand 21,3.467972055,3.462631093,4.06966436,2.571271281,3.266846108,3.723446977
85,Ligand 85,3.372843681,3.457775206,4.045037701,2.352309078,3.234905208,3.607592282
76,Ligand 76,3.492860564,3.557720766,4.039022406,2.42090417,3.284791091,3.76476388
56,Ligand 56,3.352981638,3.403211718,3.979399075,2.003559083,3.15137599,3.604283909
95,Ligand 95,3.400746697,3.447813655,3.978940311,2.262129528,3.234733992,3.616016869
81,Ligand 81,3.36656643,3.472950619,3.956796431,2.472178392,3.221053096,3.636274185
97,Ligand 97,3.359961363,3.424373957,3.948885792,2.508915901,3.198541153,3.608009459
