,Name,Mean,Median,Max,Min,Q1,Q3
0,Ligand 0,3.517119888,3.532505768,4.804050166,2.362343328,3.363770835,3.777411784
1,Ligand 1,3.429720155,3.486836712,4.509122975,2.369508177,3.131489771,3.643378809
2,Ligand 2,3.673058422,3.670914537,4.617554114,2.701582129,3.449330072,3.923391128
3,Ligand 3,3.418172247,3.476302814,4.086878638,2.057134658,3.318263444,3.677341571
4,Ligand 4,3.297830299,3.382630633,4.107276713,2.319830382,3.065063505,3.63226447
5,Ligand 5,3.455908801,3.473469985,4.288336391,2.184364667,3.206011667,3.78577821
6,Ligand 6,3.489313853,3.518842707,4.41304804,2.672112647,3.32162385,3.728386917
7,Ligand 7,3.492860564,3.557720766,4.039022406,2.42090417,3.284791091,3.76476388
8,Ligand 8,3.505789958,3.500821189,4.458803651,2.174927355,3.355620658,3.67573054
9,Ligand 9,3.372843681,3.457775206,4.045037701,2.352309078,3.234905208,3.607592282
10,Ligand 10,3.46959244,3.52829343,4.489879842,2.2016244,3.216594358,3.694267447
11,Ligand 11,3.523644226,3.50704755,4.199290535,2.403456261,3.367863987,3.690204266
12,Ligand 12,3.594839725,3.513066182,4.875169536,2.750901852,3.329845291,3.908561434
13,Ligand 13,3.577413221,3.558635132,4.449114631,2.525214644,3.403153538,3.739119816
14,Ligand 14,3.392670866,3.445143538,4.357203002,2.118011804,3.187084743,3.614971558
15,Ligand 15,3.359961363,3.424373957,3.948885792,2.508915901,3.198541153,3.608009459
16,Ligand 16,3.576574438,3.692889519,4.732057586,2.264800433,3.362711109,3.846421064
17,Ligand 17,3.54079764,3.622697246,4.645895608,2.367295715,3.417858955,3.771249618
18,Ligand 18,3.655243058,3.5986428,4.59346993,2.95790365,3.347686664,4.05709884
19,Ligand 19,3.457054845,3.548150645,4.150584176,2.409393492,3.258920527,3.647892953
20,Ligand 20,3.597631959,3.611054971,4.169262884,2.904363097,3.422318139,3.764049496
21,Ligand 21,3.473983697,3.533164487,4.174141349,2.168435842,3.332720686,3.66765075
22,Ligand 22,3.567700276,3.52027641,4.789566369,2.430476908,3.283471638,3.882018676
23,Ligand 23,3.309638086,3.493897251,4.021451604,1.837904241,3.17488677,3.606311828
24,Ligand 24,3.566091271,3.536582248,4.629187186,2.589041715,3.324752618,3.735596086
25,Ligand 25,3.492916546,3.626387143,4.287391048,1.926218575,3.322690094,3.702952894
26,Ligand 26,3.516858377,3.559834609,4.761700957,2.648846164,3.365882653,3.700567842
